,beta,error,beta,error,beta,error,beta,error,beta,error
0,0.1,0.1475266522022752,0.1,0.1502901176023634,0.1,0.1497591242877949,0.1,0.1440601234811702,0.1,0.14720135472939014
1,0.11,0.12961916663313733,0.11,0.12970713430713116,0.11,0.1300418305075144,0.11,0.13144397306653788,0.11,0.13042880956944422
2,0.12,0.11682742658560538,0.12,0.11030816365292875,0.12,0.11091876872641837,0.12,0.11457003397547699,0.12,0.1132301716371088
3,0.13,0.09518854321046691,0.13,0.09513167516039034,0.13,0.099738866720256,0.13,0.09576717825175415,0.13,0.09494070266679888
4,0.13999999999999999,0.0815460833325822,0.13999999999999999,0.08838999684623242,0.13999999999999999,0.07811804386280088,0.13999999999999999,0.07892073840531272,0.13999999999999999,0.08376849365037434
5,0.14999999999999997,0.06869343215931026,0.14999999999999997,0.06381429303383365,0.14999999999999997,0.07569773683540054,0.14999999999999997,0.06642249538051878,0.14999999999999997,0.06788863926587421
6,0.15999999999999998,0.06329314487084953,0.15999999999999998,0.06693094434458541,0.15999999999999998,0.06462463696609111,0.15999999999999998,0.0649909822654664,0.15999999999999998,0.06365356380369736
7,0.16999999999999998,0.068746051916626,0.16999999999999998,0.070656523662562,0.16999999999999998,0.06960305227830052,0.16999999999999998,0.06825206076566118,0.16999999999999998,0.0693680605425318
8,0.17999999999999997,0.07307637626382521,0.17999999999999997,0.07325218568014424,0.17999999999999997,0.07329890656906882,0.17999999999999997,0.07326267823308058,0.17999999999999997,0.07157473997432617
9,0.18999999999999995,0.07566425608492108,0.18999999999999995,0.07618663327281405,0.18999999999999995,0.07631006627457093,0.18999999999999995,0.07663784394111106,0.18999999999999995,0.07650584434185911
