,x1,e1,x2,e2,x3,e3,zero
0,0.15,1.256859942070943,0.15,1.2637353800706477,0.15,1.2813285669186287,
1,0.16,1.205815465396181,0.16,1.0481110604387407,0.16,0.9779775021817239,
2,0.17,0.9923827800710059,0.17,0.8748302232822247,0.17,0.9034976408892871,
3,0.18000000000000002,0.8453276254524404,0.18000000000000002,0.8781875860740197,0.18000000000000002,0.7431143822691318,
4,0.19000000000000003,0.7291482630396049,0.19000000000000003,0.6867792967749817,0.19000000000000003,0.6964592628163785,
5,0.20000000000000004,0.6616848776996901,0.20000000000000004,0.5285193187174817,0.20000000000000004,0.5586677107936102,
6,0.21000000000000005,0.7462242505919763,0.21000000000000005,0.4270280533182593,0.21000000000000005,0.5603304662349098,
7,0.22000000000000006,0.6877290117936801,0.22000000000000006,0.5820396812028297,0.22000000000000006,0.584849346638652,
8,0.23000000000000007,0.451551021176654,0.23000000000000007,0.3464084206485427,0.23000000000000007,0.4155933771239816,
9,0.24000000000000007,0.3730348673037992,0.24000000000000007,0.3983909632619085,0.24000000000000007,0.38484762484027213,
10,0.2500000000000001,0.38907577826135664,0.2500000000000001,0.37531286873441794,0.2500000000000001,0.3138192416796114,
11,0.2600000000000001,0.41380959227239433,0.2600000000000001,0.2874714743692054,0.2600000000000001,0.3271948592475349,
12,0.27000000000000013,0.3174882193824512,0.27000000000000013,0.3100242902097068,0.27000000000000013,0.35819085900039893,
13,0.28000000000000014,0.27739236563923664,0.28000000000000014,0.3358795093336271,0.28000000000000014,0.2956431510978179,
14,0.29000000000000015,0.3532808095354074,0.29000000000000015,0.3295672596913559,0.29000000000000015,0.46563871691621783,
15,0.30000000000000016,0.44303391905312917,0.30000000000000016,0.3583871163410718,0.30000000000000016,0.3597667065209803,
16,0.31000000000000016,0.5726596723100822,0.31000000000000016,0.3723810887945791,0.31000000000000016,0.3753783762930416,
17,0.3200000000000002,0.46331809968265847,0.3200000000000002,0.6552893981688058,0.3200000000000002,0.4769820841585277,
18,0.3300000000000002,0.6709148331830365,0.3300000000000002,0.6991917783527953,0.3300000000000002,0.7840773368456244,
19,0.3400000000000002,0.6849313947134602,0.3400000000000002,0.6629413828995846,0.3400000000000002,0.7316003968804702,
20,0.3500000000000002,0.782840101333529,0.3500000000000002,0.6855352309416002,0.3500000000000002,0.7475389359577055,
21,0.3600000000000002,0.7777568479558802,0.3600000000000002,0.8986886070339313,0.3600000000000002,0.8555647273563697,
22,0.3700000000000002,0.9323606606068774,0.3700000000000002,0.8005389024081417,0.3700000000000002,0.8812302893356833,
23,0.3800000000000002,0.8469153761856838,0.3800000000000002,0.85475969777265,0.3800000000000002,0.9681295532261311,
24,0.39000000000000024,0.9644600980418053,0.39000000000000024,0.9821705667565815,0.39000000000000024,0.8517378886838788,
